courseID,teacherID,teacherName,commentsURL
93212,7152,Emmanuel-Osorno,https://www.applyweb.com/eval/new/showreport?c=93212&i=7152&t=181&r=9&d=true
93590,7269,Sara-Hendren,https://www.applyweb.com/eval/new/showreport?c=93590&i=7269&t=181&r=9&d=true
90064,3207,Jeremy-Munn,https://www.applyweb.com/eval/new/showreport?c=90064&i=3207&t=181&r=9&d=true
92041,7180,Cherilyn-Ruane,https://www.applyweb.com/eval/new/showreport?c=92041&i=7180&t=181&r=9&d=true
90063,3699,Ang-Li,https://www.applyweb.com/eval/new/showreport?c=90063&i=3699&t=181&r=9&d=true
90055,7271,Ettore-Santi,https://www.applyweb.com/eval/new/showreport?c=90055&i=7271&t=181&r=9&d=true
91536,7270,Carlos-Sandoval Olascoaga,https://www.applyweb.com/eval/new/showreport?c=91536&i=7270&t=181&r=9&d=true
93213,7151,Alejandro-Saldarriaga,https://www.applyweb.com/eval/new/showreport?c=93213&i=7151&t=181&r=9&d=true
93214,7152,Emmanuel-Osorno,https://www.applyweb.com/eval/new/showreport?c=93214&i=7152&t=181&r=9&d=true
92882,2272,Sarah-Kanouse,https://www.applyweb.com/eval/new/showreport?c=92882&i=2272&t=181&r=9&d=true
92883,7450,Nelly-Anderson,https://www.applyweb.com/eval/new/showreport?c=92883&i=7450&t=181&r=9&d=true
92884,7450,Nelly-Anderson,https://www.applyweb.com/eval/new/showreport?c=92884&i=7450&t=181&r=9&d=true
92078,348,Jamal-Thorne,https://www.applyweb.com/eval/new/showreport?c=92078&i=348&t=181&r=9&d=true
93673,6886,Ever-Pallas,https://www.applyweb.com/eval/new/showreport?c=93673&i=6886&t=181&r=9&d=true
90615,2272,Sarah-Kanouse,https://www.applyweb.com/eval/new/showreport?c=90615&i=2272&t=181&r=9&d=true
92885,3695,Derek-Curry,https://www.applyweb.com/eval/new/showreport?c=92885&i=3695&t=181&r=9&d=true
89942,6450,Lisa-McCarty,https://www.applyweb.com/eval/new/showreport?c=89942&i=6450&t=181&r=9&d=true
89941,2150,Dana-Mueller Robinson,https://www.applyweb.com/eval/new/showreport?c=89941&i=2150&t=181&r=9&d=true
91441,6450,Lisa-McCarty,https://www.applyweb.com/eval/new/showreport?c=91441&i=6450&t=181&r=9&d=true
91718,2684,Tony-Luong,https://www.applyweb.com/eval/new/showreport?c=91718&i=2684&t=181&r=9&d=true
91720,2150,Dana-Mueller Robinson,https://www.applyweb.com/eval/new/showreport?c=91720&i=2150&t=181&r=9&d=true
92198,2684,Tony-Luong,https://www.applyweb.com/eval/new/showreport?c=92198&i=2684&t=181&r=9&d=true
93676,6567,Kija-Lucas,https://www.applyweb.com/eval/new/showreport?c=93676&i=6567&t=181&r=9&d=true
89988,4234,Matthew-Williams,https://www.applyweb.com/eval/new/showreport?c=89988&i=4234&t=181&r=9&d=true
91442,4234,Matthew-Williams,https://www.applyweb.com/eval/new/showreport?c=91442&i=4234&t=181&r=9&d=true
91658,4234,Matthew-Williams,https://www.applyweb.com/eval/new/showreport?c=91658&i=4234&t=181&r=9&d=true
93677,6567,Kija-Lucas,https://www.applyweb.com/eval/new/showreport?c=93677&i=6567&t=181&r=9&d=true
92321,4163,Jason-Donati,https://www.applyweb.com/eval/new/showreport?c=92321&i=4163&t=181&r=9&d=true
91320,7046,Jonathan-Ma,https://www.applyweb.com/eval/new/showreport?c=91320&i=7046&t=181&r=9&d=true
89940,1528,Timothy-Ouillette,https://www.applyweb.com/eval/new/showreport?c=89940&i=1528&t=181&r=9&d=true
90025,1528,Timothy-Ouillette,https://www.applyweb.com/eval/new/showreport?c=90025&i=1528&t=181&r=9&d=true
92886,5814,Clareese-Hill,https://www.applyweb.com/eval/new/showreport?c=92886&i=5814&t=181&r=9&d=true
91186,2150,Dana-Mueller Robinson,https://www.applyweb.com/eval/new/showreport?c=91186&i=2150&t=181&r=9&d=true
90640,6520,William-Stout,https://www.applyweb.com/eval/new/showreport?c=90640&i=6520&t=181&r=9&d=true
92791,6475,Madeleine-Brackett,https://www.applyweb.com/eval/new/showreport?c=92791&i=6475&t=181&r=9&d=true
92066,6520,William-Stout,https://www.applyweb.com/eval/new/showreport?c=92066&i=6520&t=181&r=9&d=true
91321,332,Julia-Hechtman,https://www.applyweb.com/eval/new/showreport?c=91321&i=332&t=181&r=9&d=true
92573,4163,Jason-Donati,https://www.applyweb.com/eval/new/showreport?c=92573&i=4163&t=181&r=9&d=true
92574,3694,Jennifer-Gradecki,https://www.applyweb.com/eval/new/showreport?c=92574&i=3694&t=181&r=9&d=true
91443,6450,Lisa-McCarty,https://www.applyweb.com/eval/new/showreport?c=91443&i=6450&t=181&r=9&d=true
